"X","cylinders","displacement","horsepower","weight","mpg01"
1,8,307,130,3504,0
2,8,350,165,3693,0
3,8,318,150,3436,0
4,8,304,150,3433,0
5,8,302,140,3449,0
6,8,429,198,4341,0
7,8,454,220,4354,0
8,8,440,215,4312,0
9,8,455,225,4425,0
10,8,390,190,3850,0
11,8,383,170,3563,0
12,8,340,160,3609,0
13,8,400,150,3761,0
14,8,455,225,3086,0
15,4,113,95,2372,1
16,6,198,95,2833,0
17,6,199,97,2774,0
18,6,200,85,2587,0
19,4,97,88,2130,1
20,4,97,46,1835,1
21,4,110,87,2672,1
22,4,107,90,2430,1
23,4,104,95,2375,1
24,4,121,113,2234,1
25,6,199,90,2648,0
26,8,360,215,4615,0
27,8,307,200,4376,0
28,8,318,210,4382,0
29,8,304,193,4732,0
30,4,97,88,2130,1
31,4,140,90,2264,1
32,4,113,95,2228,1
33,6,232,100,2634,0
34,6,225,105,3439,0
35,6,250,100,3329,0
36,6,250,88,3302,0
37,6,232,100,3288,0
38,8,350,165,4209,0
39,8,400,175,4464,0
40,8,351,153,4154,0
41,8,318,150,4096,0
42,8,383,180,4955,0
43,8,400,170,4746,0
44,8,400,175,5140,0
45,6,258,110,2962,0
46,4,140,72,2408,0
47,6,250,100,3282,0
48,6,250,88,3139,0
49,4,122,86,2220,1
50,4,116,90,2123,1
51,4,79,70,2074,1
52,4,88,76,2065,1
53,4,71,65,1773,1
54,4,72,69,1613,1
55,4,97,60,1834,1
56,4,91,70,1955,1
57,4,113,95,2278,1
58,4,97.5,80,2126,1
59,4,97,54,2254,1
60,4,140,90,2408,0
61,4,122,86,2226,0
62,8,350,165,4274,0
63,8,400,175,4385,0
64,8,318,150,4135,0
65,8,351,153,4129,0
66,8,304,150,3672,0
67,8,429,208,4633,0
68,8,350,155,4502,0
69,8,350,160,4456,0
70,8,400,190,4422,0
71,3,70,97,2330,0
72,8,304,150,3892,0
73,8,307,130,4098,0
74,8,302,140,4294,0
75,8,318,150,4077,0
76,4,121,112,2933,0
77,4,121,76,2511,0
78,4,120,87,2979,0
79,4,96,69,2189,1
80,4,122,86,2395,0
81,4,97,92,2288,1
82,4,120,97,2506,1
83,4,98,80,2164,1
84,4,97,88,2100,1
85,8,350,175,4100,0
86,8,304,150,3672,0
87,8,350,145,3988,0
88,8,302,137,4042,0
89,8,318,150,3777,0
90,8,429,198,4952,0
91,8,400,150,4464,0
92,8,351,158,4363,0
93,8,318,150,4237,0
94,8,440,215,4735,0
95,8,455,225,4951,0
96,8,360,175,3821,0
97,6,225,105,3121,0
98,6,250,100,3278,0
99,6,232,100,2945,0
100,6,250,88,3021,0
101,6,198,95,2904,1
102,4,97,46,1950,1
103,8,400,150,4997,0
104,8,400,167,4906,0
105,8,360,170,4654,0
106,8,350,180,4499,0
107,6,232,100,2789,0
108,4,97,88,2279,0
109,4,140,72,2401,0
110,4,108,94,2379,0
111,3,70,90,2124,0
112,4,122,85,2310,0
113,6,155,107,2472,0
114,4,98,90,2265,1
115,8,350,145,4082,0
116,8,400,230,4278,0
117,4,68,49,1867,1
118,4,116,75,2158,1
119,4,114,91,2582,0
120,4,121,112,2868,0
121,8,318,150,3399,0
122,4,121,110,2660,1
123,6,156,122,2807,0
124,8,350,180,3664,0
125,6,198,95,3102,0
126,6,232,100,2901,0
127,6,250,100,3336,0
128,4,79,67,1950,1
129,4,122,80,2451,1
130,4,71,65,1836,1
131,4,140,75,2542,1
132,6,250,100,3781,0
133,6,258,110,3632,0
134,6,225,105,3613,0
135,8,302,140,4141,0
136,8,350,150,4699,0
137,8,318,150,4457,0
138,8,302,140,4638,0
139,8,304,150,4257,0
140,4,98,83,2219,1
141,4,79,67,1963,1
142,4,97,78,2300,1
143,4,76,52,1649,1
144,4,83,61,2003,1
145,4,90,75,2125,1
146,4,90,75,2108,1
147,4,116,75,2246,1
148,4,120,97,2489,1
149,4,108,93,2391,1
150,4,79,67,2000,1
151,6,225,95,3264,0
152,6,250,105,3459,0
153,6,250,72,3432,0
154,6,250,72,3158,0
155,8,400,170,4668,0
156,8,350,145,4440,0
157,8,318,150,4498,0
158,8,351,148,4657,0
159,6,231,110,3907,0
160,6,250,105,3897,0
161,6,258,110,3730,0
162,6,225,95,3785,0
163,6,231,110,3039,0
164,8,262,110,3221,0
165,8,302,129,3169,0
166,4,97,75,2171,1
167,4,140,83,2639,1
168,6,232,100,2914,0
169,4,140,78,2592,1
170,4,134,96,2702,1
171,4,90,71,2223,1
172,4,119,97,2545,1
173,6,171,97,2984,0
174,4,90,70,1937,1
175,6,232,90,3211,0
176,4,115,95,2694,1
177,4,120,88,2957,1
178,4,121,98,2945,0
179,4,121,115,2671,1
180,4,91,53,1795,1
181,4,107,86,2464,1
182,4,116,81,2220,1
183,4,140,92,2572,1
184,4,98,79,2255,1
185,4,101,83,2202,1
186,8,305,140,4215,0
187,8,318,150,4190,0
188,8,304,120,3962,0
189,8,351,152,4215,0
190,6,225,100,3233,0
191,6,250,105,3353,0
192,6,200,81,3012,1
193,6,232,90,3085,0
194,4,85,52,2035,1
195,4,98,60,2164,1
196,4,90,70,1937,1
197,4,91,53,1795,1
198,6,225,100,3651,0
199,6,250,78,3574,0
200,6,250,110,3645,0
201,6,258,95,3193,0
202,4,97,71,1825,1
203,4,85,70,1990,1
204,4,97,75,2155,1
205,4,140,72,2565,1
206,4,130,102,3150,0
207,8,318,150,3940,0
208,4,120,88,3270,0
209,6,156,108,2930,0
210,6,168,120,3820,0
211,8,350,180,4380,0
212,8,350,145,4055,0
213,8,302,130,3870,0
214,8,318,150,3755,0
215,4,98,68,2045,1
216,4,111,80,2155,1
217,4,79,58,1825,1
218,4,122,96,2300,1
219,4,85,70,1945,1
220,8,305,145,3880,0
221,8,260,110,4060,0
222,8,318,145,4140,0
223,8,302,130,4295,0
224,6,250,110,3520,0
225,6,231,105,3425,0
226,6,225,100,3630,0
227,6,250,98,3525,0
228,8,400,180,4220,0
229,8,350,170,4165,0
230,8,400,190,4325,0
231,8,351,149,4335,0
232,4,97,78,1940,1
233,4,151,88,2740,1
234,4,97,75,2265,1
235,4,140,89,2755,1
236,4,98,63,2051,1
237,4,98,83,2075,1
238,4,97,67,1985,1
239,4,97,78,2190,1
240,6,146,97,2815,0
241,4,121,110,2600,0
242,3,80,110,2720,0
243,4,90,48,1985,1
244,4,98,66,1800,1
245,4,78,52,1985,1
246,4,85,70,2070,1
247,4,91,60,1800,1
248,8,260,110,3365,0
249,8,318,140,3735,0
250,8,302,139,3570,0
251,6,231,105,3535,0
252,6,200,95,3155,0
253,6,200,85,2965,0
254,4,140,88,2720,1
255,6,225,100,3430,0
256,6,232,90,3210,0
257,6,231,105,3380,0
258,6,200,85,3070,0
259,6,225,110,3620,0
260,6,258,120,3410,0
261,8,305,145,3425,0
262,6,231,165,3445,0
263,8,302,139,3205,0
264,8,318,140,4080,0
265,4,98,68,2155,1
266,4,134,95,2560,1
267,4,119,97,2300,1
268,4,105,75,2230,1
269,4,134,95,2515,0
270,4,156,105,2745,1
271,4,151,85,2855,1
272,4,119,97,2405,1
273,5,131,103,2830,0
274,6,163,125,3140,0
275,4,121,115,2795,0
276,6,163,133,3410,0
277,4,89,71,1990,1
278,4,98,68,2135,1
279,6,231,115,3245,0
280,6,200,85,2990,0
281,4,140,88,2890,0
282,6,232,90,3265,0
283,6,225,110,3360,0
284,8,305,130,3840,0
285,8,302,129,3725,0
286,8,351,138,3955,0
287,8,318,135,3830,0
288,8,350,155,4360,0
289,8,351,142,4054,0
290,8,267,125,3605,0
291,8,360,150,3940,0
292,4,89,71,1925,1
293,4,86,65,1975,1
294,4,98,80,1915,1
295,4,121,80,2670,1
296,5,183,77,3530,1
297,8,350,125,3900,1
298,4,141,71,3190,1
299,8,260,90,3420,1
300,4,105,70,2200,1
301,4,105,70,2150,1
302,4,85,65,2020,1
303,4,91,69,2130,1
304,4,151,90,2670,1
305,6,173,115,2595,1
306,6,173,115,2700,1
307,4,151,90,2556,1
308,4,98,76,2144,1
309,4,89,60,1968,1
310,4,98,70,2120,1
311,4,86,65,2019,1
312,4,151,90,2678,1
313,4,140,88,2870,1
314,4,151,90,3003,1
315,6,225,90,3381,0
316,4,97,78,2188,1
317,4,134,90,2711,1
318,4,120,75,2542,1
319,4,119,92,2434,1
320,4,108,75,2265,1
321,4,86,65,2110,1
322,4,156,105,2800,1
323,4,85,65,2110,1
324,4,90,48,2085,1
325,4,90,48,2335,1
326,5,121,67,2950,1
327,4,146,67,3250,1
328,4,91,67,1850,1
329,4,97,67,2145,1
330,4,89,62,1845,1
331,6,168,132,2910,1
332,3,70,100,2420,1
333,4,122,88,2500,1
334,4,107,72,2290,1
335,4,135,84,2490,1
336,4,151,84,2635,1
337,4,156,92,2620,1
338,6,173,110,2725,1
339,4,135,84,2385,1
340,4,79,58,1755,1
341,4,86,64,1875,1
342,4,81,60,1760,1
343,4,97,67,2065,1
344,4,85,65,1975,1
345,4,89,62,2050,1
346,4,91,68,1985,1
347,4,105,63,2215,1
348,4,98,65,2045,1
349,4,98,65,2380,1
350,4,105,74,2190,1
351,4,107,75,2210,1
352,4,108,75,2350,1
353,4,119,100,2615,1
354,4,120,74,2635,1
355,4,141,80,3230,1
356,6,145,76,3160,1
357,6,168,116,2900,1
358,6,146,120,2930,1
359,6,231,110,3415,0
360,8,350,105,3725,1
361,6,200,88,3060,0
362,6,225,85,3465,0
363,4,112,88,2605,1
364,4,112,88,2640,1
365,4,112,88,2395,1
366,4,112,85,2575,1
367,4,135,84,2525,1
368,4,151,90,2735,1
369,4,140,92,2865,1
370,4,105,74,1980,1
371,4,91,68,2025,1
372,4,91,68,1970,1
373,4,105,63,2125,1
374,4,98,70,2125,1
375,4,120,88,2160,1
376,4,107,75,2205,1
377,4,108,70,2245,1
378,4,91,67,1965,1
379,4,91,67,1965,1
380,4,91,67,1995,1
381,6,181,110,2945,1
382,6,262,85,3015,1
383,4,156,92,2585,1
384,6,232,112,2835,0
385,4,144,96,2665,1
386,4,135,84,2370,1
387,4,151,90,2950,1
388,4,140,86,2790,1
389,4,97,52,2130,1
390,4,135,84,2295,1
391,4,120,79,2625,1
392,4,119,82,2720,1
